Event ID,Application Name,Start Time,Status
EVENT95980,E-commerce Platform,2024-10-08 04:21:22,Completed
EVENT24651,HR Portal,2024-10-12 07:34:38,Completed
EVENT09091,HR Portal,2024-10-13 02:18:56,Completed
EVENT84163,Customer CRM,2024-10-23 13:17:47,Active
EVENT37441,Customer CRM,2024-10-21 07:52:07,Completed
EVENT10520,Customer CRM,2024-10-08 17:30:25,Completed
EVENT63725,Customer CRM,2024-11-04 17:14:36,Active
EVENT75773,E-commerce Platform,2024-10-27 02:00:26,Active
EVENT80601,E-commerce Platform,2024-10-21 23:44:45,Active
EVENT61270,Customer CRM,2024-10-03 20:04:50,Active
EVENT98760,Inventory System,2024-10-22 21:19:53,Completed
EVENT49160,HR Portal,2024-11-05 21:34:12,Active
EVENT07610,E-commerce Platform,2024-11-10 09:06:27,Completed
EVENT91306,Customer CRM,2024-11-13 11:29:08,Active
EVENT88870,Payment Gateway,2024-11-08 05:38:19,Completed
EVENT93650,E-commerce Platform,2024-11-10 08:40:49,Completed
EVENT57189,E-commerce Platform,2024-10-16 01:04:21,Completed
EVENT78635,E-commerce Platform,2024-10-04 00:53:02,Completed
EVENT51519,HR Portal,2024-10-21 18:56:51,Completed
EVENT27210,Customer CRM,2024-10-14 11:42:13,Completed
EVENT88735,Customer CRM,2024-10-31 16:28:21,Completed
EVENT00156,Payment Gateway,2024-11-02 16:08:51,Active
EVENT29271,E-commerce Platform,2024-10-18 00:30:15,Active
EVENT32550,E-commerce Platform,2024-10-31 06:43:35,Completed
EVENT54545,Payment Gateway,2024-10-03 03:48:57,Completed
EVENT11960,E-commerce Platform,2024-11-13 22:50:37,Active
EVENT29904,Payment Gateway,2024-10-02 06:47:00,Active
EVENT69797,Customer CRM,2024-10-18 18:28:03,Completed
EVENT55953,Payment Gateway,2024-10-06 11:17:52,Completed
EVENT69966,Payment Gateway,2024-10-23 21:28:40,Completed
EVENT51013,Inventory System,2024-10-05 01:51:44,Completed
EVENT22976,Inventory System,2024-10-05 08:22:29,Completed
EVENT20713,Inventory System,2024-11-12 13:01:26,Completed
EVENT91581,E-commerce Platform,2024-11-01 21:15:43,Active
EVENT27562,Inventory System,2024-11-10 09:56:55,Active
EVENT34602,Customer CRM,2024-10-06 08:26:00,Completed
EVENT82134,Customer CRM,2024-10-24 17:14:44,Completed
EVENT60310,E-commerce Platform,2024-11-08 02:58:46,Completed
EVENT05350,HR Portal,2024-11-13 19:51:55,Active
EVENT16030,E-commerce Platform,2024-10-05 11:26:06,Active
EVENT19429,Inventory System,2024-10-29 02:31:15,Active
EVENT16479,Inventory System,2024-10-10 04:54:19,Completed
EVENT10319,HR Portal,2024-10-13 07:53:59,Active
EVENT90196,Payment Gateway,2024-11-09 15:25:03,Completed
EVENT42500,E-commerce Platform,2024-10-12 19:57:34,Completed
EVENT77635,HR Portal,2024-10-29 01:51:33,Completed
EVENT79940,E-commerce Platform,2024-10-06 22:02:25,Active
EVENT00167,Inventory System,2024-10-16 05:52:41,Completed
EVENT84383,Customer CRM,2024-10-02 03:41:55,Active
EVENT01040,Customer CRM,2024-10-29 08:33:57,Active
