Event ID,Application Name,Start Time,Status
EVNT99423,Inventory System,2024-11-24 17:53:13,Active
EVNT17586,HR Portal,2024-10-05 01:04:35,Active
EVNT47621,E-commerce Platform,2024-10-04 15:35:09,Active
EVNT40600,Inventory System,2024-12-22 09:19:13,Completed
EVNT22855,Payment Gateway,2024-10-09 06:59:17,Active
EVNT69972,E-commerce Platform,2024-10-18 04:51:05,Active
EVNT21534,HR Portal,2024-10-16 14:20:52,Completed
EVNT95798,Payment Gateway,2024-11-04 14:19:55,Active
EVNT02345,E-commerce Platform,2024-12-05 17:14:47,Active
EVNT94262,HR Portal,2024-10-31 13:52:35,Completed
EVNT15377,E-commerce Platform,2024-11-19 14:43:12,Active
EVNT96913,E-commerce Platform,2024-10-24 05:13:54,Active
EVNT93986,Customer CRM,2024-11-03 09:56:17,Active
EVNT04746,E-commerce Platform,2024-10-30 00:53:08,Completed
EVNT07049,Inventory System,2024-12-19 06:28:54,Active
EVNT65710,Customer CRM,2024-12-19 21:52:03,Active
EVNT25918,Customer CRM,2024-10-21 08:14:47,Completed
EVNT80376,Inventory System,2024-10-24 19:08:57,Completed
EVNT22130,Payment Gateway,2024-10-17 01:05:53,Completed
EVNT45411,Inventory System,2024-11-12 08:11:30,Active
EVNT85064,Customer CRM,2024-11-02 01:10:43,Active
EVNT66681,E-commerce Platform,2024-12-26 15:43:54,Active
EVNT39799,E-commerce Platform,2024-11-29 02:40:46,Completed
EVNT89858,Customer CRM,2024-10-15 15:27:36,Completed
EVNT08798,Payment Gateway,2024-10-27 00:39:04,Completed
EVNT65617,E-commerce Platform,2024-10-30 20:14:51,Active
EVNT07006,Inventory System,2024-12-27 16:00:27,Completed
EVNT36855,Payment Gateway,2024-10-04 23:39:28,Active
EVNT49967,Payment Gateway,2024-12-19 22:36:35,Active
EVNT03860,Payment Gateway,2024-11-18 22:31:09,Active
EVNT09639,E-commerce Platform,2024-12-05 16:23:12,Completed
EVNT25735,HR Portal,2024-11-20 10:27:10,Active
EVNT36203,Payment Gateway,2024-11-29 08:39:47,Completed
EVNT05354,Payment Gateway,2024-11-11 20:31:26,Completed
EVNT92407,Customer CRM,2024-11-23 18:49:56,Completed
EVNT84347,Customer CRM,2024-12-04 23:41:06,Active
EVNT43100,Customer CRM,2024-10-08 16:59:54,Active
EVNT15262,HR Portal,2024-10-19 04:38:28,Active
EVNT24468,Customer CRM,2024-11-12 10:41:10,Active
EVNT62403,HR Portal,2024-11-14 12:38:51,Active
EVNT47648,E-commerce Platform,2024-10-08 06:21:58,Completed
EVNT72090,Inventory System,2024-12-21 09:14:54,Completed
EVNT82976,E-commerce Platform,2024-11-15 20:21:25,Active
EVNT80861,Inventory System,2024-10-20 20:42:54,Completed
EVNT89049,HR Portal,2024-11-11 01:10:20,Active
EVNT44980,Payment Gateway,2024-10-20 13:50:09,Completed
EVNT86508,Inventory System,2024-11-01 14:46:45,Active
EVNT85147,Payment Gateway,2024-10-20 04:38:35,Completed
EVNT09774,Customer CRM,2024-10-30 10:01:43,Active
EVNT38858,Customer CRM,2024-10-24 18:04:18,Active
EVNT46607,Inventory System,2024-11-15 03:44:40,Active
EVNT20859,HR Portal,2024-10-07 13:05:12,Active
EVNT28527,Payment Gateway,2024-12-06 16:57:24,Active
EVNT34066,E-commerce Platform,2024-12-09 07:58:07,Completed
EVNT62745,Payment Gateway,2024-11-26 02:59:39,Completed
EVNT60037,Payment Gateway,2024-12-09 04:17:57,Active
EVNT83561,HR Portal,2024-12-30 13:58:59,Active
